realization,station_id,point_id,longitude,latitude,date,tmax,tmin,prcp
1,87448,1,5001635.86109091,6256576.54050352,2010-01-01,28.0596501204568,17.6913516574964,7.53462221287506
1,87448,1,5001635.86109091,6256576.54050352,2010-01-02,27.327830826787,16.2001886273952,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-03,35.0102526095947,13.3576581303988,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-04,34.1898957080012,18.0470993475243,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-05,30.5966134541249,20.6269180740337,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-06,37.1516229794385,17.4457097541551,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-07,35.6516582184278,18.3667959444667,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-08,28.2827114802809,13.7768633373122,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-09,29.660450153633,13.7332841314015,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-10,28.0737883594378,14.1786635997774,11.0438092901059
1,87448,1,5001635.86109091,6256576.54050352,2010-01-11,28.6672268680405,14.2727489763119,16.1689176336135
1,87448,1,5001635.86109091,6256576.54050352,2010-01-12,24.150158249057,15.2000601384825,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-13,26.7291717354146,17.989758274689,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-14,27.1175764397713,15.8248257058678,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-15,28.7755407342005,11.9973926736113,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-16,31.1594104203407,17.9670023511356,11.4118589404285
1,87448,1,5001635.86109091,6256576.54050352,2010-01-17,26.6236251257675,22.5064432857184,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-18,27.3199189269782,16.7543136875812,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-19,30.7477401113912,16.864054470505,5.27217943677585
1,87448,1,5001635.86109091,6256576.54050352,2010-01-20,27.6747498704574,17.7869833078268,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-21,26.6363690462423,14.2985361447345,0.661675525953474
1,87448,1,5001635.86109091,6256576.54050352,2010-01-22,22.6090572546747,7.73733113421633,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-23,24.5722604786569,8.92427287486291,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-24,28.6897063968147,15.4654894535107,2.96740064139845
1,87448,1,5001635.86109091,6256576.54050352,2010-01-25,28.7251084300659,15.7819632062348,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-26,29.8451350551646,14.7831158130174,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-27,33.5499222867969,14.6295429899038,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-28,29.5207715598533,14.3026192895577,0
1,87448,1,5001635.86109091,6256576.54050352,2010-01-29,27.2738722096478,14.5839755175156,6.20248763450142
1,87448,1,5001635.86109091,6256576.54050352,2010-01-30,29.3028524721401,13.6665447409543,0.0033483660461758
1,87448,1,5001635.86109091,6256576.54050352,2010-01-31,23.1534012698177,15.1056992606481,9.31806017506209
1,87448,1,5001635.86109091,6256576.54050352,2010-02-01,20.218684970758,13.8062526471547,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-02,31.9023808808625,11.0428139817042,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-03,36.3407148746313,12.5903172359008,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-04,37.5834469936936,14.6997320978414,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-05,41.9014921640035,25.3819117319067,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-06,35.3905768563979,18.3516792659483,8.24505580963927
1,87448,1,5001635.86109091,6256576.54050352,2010-02-07,31.8147728191299,15.2778656253557,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-08,29.2715347539123,15.9061407911674,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-09,37.0029887845102,14.2557364659854,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-10,36.0662803265526,18.4239577700864,13.7826040209743
1,87448,1,5001635.86109091,6256576.54050352,2010-02-11,27.6232914405404,19.3915254035233,6.79336385535453
1,87448,1,5001635.86109091,6256576.54050352,2010-02-12,32.2953765097993,14.2809314063063,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-13,28.8902496770639,13.3894290168796,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-14,31.3008378864731,13.7151317972739,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-15,26.6814256531714,10.5414103843063,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-16,31.2186194352254,11.2701985455482,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-17,30.564859826883,15.0189680711967,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-18,27.5648397205088,10.2085521247481,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-19,28.9704751701067,14.2290493553765,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-20,26.180576373307,17.5717105087603,2.99885744554845
1,87448,1,5001635.86109091,6256576.54050352,2010-02-21,21.1625866542253,16.8600847937331,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-22,32.7245419181095,14.1790647079167,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-23,25.9802852652903,14.5189358368615,2.36245323818531
1,87448,1,5001635.86109091,6256576.54050352,2010-02-24,25.7569071765728,12.4273125262432,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-25,31.1436846505061,10.0487301455194,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-26,28.3231708357175,9.16716956298053,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-27,32.5481562153017,11.3514483680636,0
1,87448,1,5001635.86109091,6256576.54050352,2010-02-28,35.0393732788755,15.4266537445268,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-01,34.0927135660905,17.1535313902861,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-02,34.6702128721525,17.1669460870644,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-03,31.7630047916307,15.090884312218,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-04,32.2594248762534,17.0341542734233,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-05,27.5422319655233,11.1008027312757,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-06,25.7579520146127,10.8527993299143,4.63317770107666
1,87448,1,5001635.86109091,6256576.54050352,2010-03-07,25.2066285457524,7.05838978287586,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-08,30.5925472443736,8.1159319039278,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-09,31.23146909769,10.0467737724158,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-10,30.0186616418326,15.1920651440394,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-11,28.8628260155864,12.1092801604079,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-12,25.0763274238285,8.39585605683394,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-13,31.0241766160003,10.0844250942545,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-14,31.923673752987,7.68031080107549,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-15,34.8823772153127,9.97166294529259,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-16,34.6084988075131,15.5995937651124,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-17,31.8743815479583,18.4207946175229,16.1748501216322
1,87448,1,5001635.86109091,6256576.54050352,2010-03-18,25.6102456954094,14.9463714512914,3.58921617519105
1,87448,1,5001635.86109091,6256576.54050352,2010-03-19,18.2699623179476,14.0603743898463,18.915387030226
1,87448,1,5001635.86109091,6256576.54050352,2010-03-20,22.7129146751598,15.6707870755525,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-21,23.8768801615762,11.659738617732,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-22,23.4846736700915,6.53493058569559,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-23,29.3290003054075,9.18237062405704,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-24,29.3443810298414,9.72745723077492,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-25,36.5966794888309,14.0176665585027,3.64104243326594
1,87448,1,5001635.86109091,6256576.54050352,2010-03-26,26.3694640216608,17.5060183086778,4.21339721151294
1,87448,1,5001635.86109091,6256576.54050352,2010-03-27,32.6192271381566,8.851359906288,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-28,27.3513909364083,11.7587040077947,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-29,27.7904352948141,12.8650756100271,0
1,87448,1,5001635.86109091,6256576.54050352,2010-03-30,20.5357096605799,10.9621448100773,11.4485809838385
1,87448,1,5001635.86109091,6256576.54050352,2010-03-31,20.6640574907678,5.92851861925631,0.0665745172892213
1,87448,1,5001635.86109091,6256576.54050352,2010-04-01,14.4769463088131,10.0926565618147,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-02,13.5790912758986,2.18965341260523,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-03,22.6948397760275,-0.75146351471617,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-04,21.657489810211,4.08737199749669,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-05,27.6748194980004,4.30150714329492,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-06,28.364760349329,11.1567214281669,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-07,33.0205938581373,8.49944257361878,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-08,31.5239308046763,12.8828252836279,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-09,33.29570191478,15.0676035117781,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-10,25.0685859615212,17.4288071885099,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-11,24.7024731878818,7.09921560298992,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-12,24.1839690487558,6.87351028732187,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-13,31.244320927187,10.3789149263672,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-14,25.0636207819439,10.0927550258392,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-15,17.1895289719468,10.4106575728941,4.03353238323427
1,87448,1,5001635.86109091,6256576.54050352,2010-04-16,17.017036287326,8.8286100353967,19.9342834114304
1,87448,1,5001635.86109091,6256576.54050352,2010-04-17,20.1072008585107,2.29265132277234,0
1,87448,1,5001635.86109091,6256576.54050352,2010-04-18,22.9996328165205,2.09386609879899,0
