"station_id","year","season","seasonal_prcp","seasonal_tmax","seasonal_tmin"
87448,1961,1,273.7,31.2023255813953,14.7058139534884
87448,1961,2,192.8,24.4747252747253,8.2906976744186
87448,1961,3,11.3,19.6838166716961,2.27103089817381
87448,1961,4,233.5,27.2412207610379,11.5745514626175
87448,1962,1,219.4,29.7658823529412,14.4682926829268
87448,1962,2,130,24.5735632183908,8.12528735632184
87448,1962,3,50.9,17.1941176470588,-0.760227272727273
87448,1962,4,131.9,25.6228915662651,8.81765878682581
87448,1963,1,294.4,29.2705882352941,14.2141176470588
87448,1963,2,82,25.6376470588235,8.82022471910112
87448,1963,3,12.5,19.4447058823529,2.09265499067437
87448,1963,4,209,23.1610303981087,7.41279069767442
87448,1964,1,197.5,30.6238095238095,14.5059523809524
87448,1964,2,115.6,26.7085703035816,9.99647058823529
87448,1964,3,10.5,18.4406976744186,1.24617256196253
87448,1964,4,253.9,24.3380952380952,8.11529411764706
87448,1965,1,255.3,30.4037037037037,14.3927710843373
87448,1965,2,43.1,23.8727272727273,6.13427166195151
87448,1965,3,15.7,19.6003178454664,2.23095238095238
87448,1965,4,94.1,22.4999870524229,5.73786934433016
87448,1966,1,350.8,29.3301204819277,13.3265060240964
87448,1966,2,221.5,24.2045977011494,8.97078651685393
87448,1966,3,48.9683397654327,18.4987951807229,1.8381428591583
87448,1966,4,141.401038505183,23.9220191757166,7.53809523809524
87448,1967,1,159.8,32.0333333333333,14.4365275836465
87448,1967,2,83.9,26.3674698795181,8.74486215217844
87448,1967,3,14.3,17.1,0.207434265558193
87448,1967,4,176.8,24.2617064957687,8.18536585365854
87448,1968,1,243.3,31.0735632183908,14.1792682926829
87448,1968,2,124.6,24.1786516853933,6.14883720930233
87448,1968,3,69.7,19.5622222222222,3.12134831460674
87448,1968,4,134,25.2733333333333,9.25862068965517
87448,1969,1,246.917902519645,32.8988505747126,15.4908045977011
87448,1969,2,120.5,25.4388888888889,9.80909090909091
87448,1969,3,46.2,18.1355555555556,1.4032967032967
87448,1969,4,81.4,25.9218390804598,7.78181818181818
87448,1970,1,279.3,30.9224719101124,14.8425287356322
87448,1970,2,190.684541944295,26.1606741573034,10.238202247191
87448,1970,3,0,19.3395604395604,-1.15116279069767
87448,1970,4,123.506525771055,26.3931818181818,8.26235294117647
87448,1971,1,219.2,31.8578313253012,15.1344594728964
87448,1971,2,111.8,23.4677777777778,5.97241379310345
87448,1971,3,15.8,18.9045977011494,0.118181818181818
87448,1971,4,92.9,28.2215909090909,9.50121951219512
87448,1972,1,267.9,32.0574712643678,15.5613636363636
87448,1972,2,180.5,24.0314606741573,8.51511627906977
87448,1972,3,61.9,17.7835164835165,1.67261904761905
87448,1972,4,144.5,24.0988505747126,8.03258426966292
87448,1973,1,153.6,30.9,14.1441860465116
87448,1973,2,285.2,23.2955555555556,9.25280898876404
87448,1973,3,47.6,17.3426966292135,0.587058823529412
87448,1973,4,144.2,24.8770114942529,6.69285714285714
87448,1974,1,263.5,30.1,13.9264367816092
87448,1974,2,133.6,25.1011111111111,8.58295454545454
87448,1974,3,49.8,17.9752808988764,1.40333333333333
87448,1974,4,152.1,24.6613636363636,6.88690476190476
87448,1975,1,368.2,31.7586206896552,14.755421686747
87448,1975,2,203.4,23.4615384615385,9.31195652173913
87448,1975,3,50.8,18.3112359550562,1.26629213483146
87448,1975,4,133.3,24.8306818181818,7.25764705882353
87448,1976,1,254.2,31.1103448275862,15.3470588235294
87448,1976,2,113.6,23.2532608695652,7.04204545454545
87448,1976,3,54.9,17.3393258426966,0.708045977011494
87448,1976,4,189.2,24.9811111111111,8.28620689655172
87448,1977,1,251.3,30.4505882352941,16.2294117647059
87448,1977,2,60.8,25.4988764044944,9.26
87448,1977,3,30.9,19.0882352941176,2.86046511627907
87448,1977,4,113.4,27.3602272727273,9.84166666666667
87448,1978,1,472.7,28.7101123595506,14.7932584269663
87448,1978,2,140.7,24.5011111111111,9.3021978021978
87448,1978,3,15.9,17.7449438202247,1.35287356321839
87448,1978,4,108.5,25.5209302325581,9.21590909090909
87448,1979,1,355.1,28.8275862068966,15.4447058823529
87448,1979,2,139.5,24.2696629213483,7.96629213483146
87448,1979,3,28.2,19.3195402298851,2.21292828647935
87448,1979,4,88.9,23.5045454545455,7.20224719101124
87448,1980,1,254.823115067359,31.2,14.8556818181818
87448,1980,2,177.4,24.6920454545455,11.0155555555556
87448,1980,3,0,18.3573033707865,0.107228915662651
87448,1980,4,121.622766766043,25.6806818181818,7.83372093023256
87448,1981,1,215.3,30.0172413793103,14.8931034482759
87448,1981,2,193.6,24.9625,10.9722222222222
87448,1981,3,10.2,18.9126436781609,0.711494252873563
87448,1981,4,128.664468085729,24.8712643678161,7.63333333333333
87448,1982,1,176.2,31.0068965517241,15.2151162790698
87448,1982,2,154.1,25.2989010989011,9.78804347826087
87448,1982,3,44.7,17.4920454545455,2.7632183908046
87448,1982,4,171.7,25.2144444444444,9.04827862421383
87448,1983,1,257.5,30.1895348837209,15.7795454545455
87448,1983,2,81.8,24.4505617977528,9.60777777777778
87448,1983,3,38.5,15.9689655172414,-0.0988636363636364
87448,1983,4,118.2,25.5159090909091,8.68720930232558
87448,1984,1,372.1,28.5792682926829,15.009756097561
87448,1984,2,181.6,23.0647727272727,8.82111111111111
87448,1984,3,26.1,15.3554347826087,0.731034482758621
87448,1984,4,207.2,23.2811111111111,9.63595505617977
87448,1985,1,348.1,28.8372093023256,14.7452380952381
87448,1985,2,119.621901300737,25.24,7.54252873563218
87448,1985,3,41.1,18.0222222222222,1.75795454545455
