"x_coord"	"y_coord"	"lon"	"lat"
5127500	5907500	-64.1787127186682	-36.9102930158176
5132500	5907500	-64.1227554970585	-36.9122515189559
5137500	5907500	-64.0667929038895	-36.9141837492877
5142500	5907500	-64.0108250111894	-36.9160896989488
5147500	5907500	-63.9548518910292	-36.9179693601802
5152500	5907500	-63.8988736155223	-36.919822725329
5157500	5907500	-63.8428902568242	-36.9216497868477
5162500	5907500	-63.7869018871314	-36.923450537295
5167500	5907500	-63.7309085786814	-36.925224969335
5172500	5907500	-63.6749104037516	-36.9269730757383
5177500	5907500	-63.6189074346592	-36.9286948493813
5182500	5907500	-63.5628997437602	-36.9303902832466
5187500	5907500	-63.5068874034491	-36.9320593704232
5192500	5907500	-63.4508704861583	-36.9337021041062
5197500	5907500	-63.3948490643573	-36.9353184775972
5202500	5907500	-63.3388232105525	-36.9369084843044
5207500	5907500	-63.2827929972863	-36.9384721177424
5212500	5907500	-63.2267584971364	-36.9400093715325
5217500	5907500	-63.1707197827158	-36.9415202394026
5222500	5907500	-63.1146769266717	-36.9430047151874
5227500	5907500	-63.058630001685	-36.9444627928287
5232500	5907500	-63.0025790804698	-36.9458944663748
5237500	5907500	-62.9465242357729	-36.9472997299813
5242500	5907500	-62.890465540373	-36.9486785779108
5247500	5907500	-62.8344030670804	-36.9500310045328
5252500	5907500	-62.778336888736	-36.9513570043243
5257500	5907500	-62.7222670782112	-36.9526565718692
5262500	5907500	-62.6661937084068	-36.9539297018591
5267500	5907500	-62.610116852253	-36.9551763890926
5272500	5907500	-62.5540365827081	-36.956396628476
5277500	5907500	-62.4979529727586	-36.9575904150229
5282500	5907500	-62.4418660954182	-36.9587577438545
5287500	5907500	-62.3857760237274	-36.9598986101997
5292500	5907500	-62.3296828307526	-36.9610130093949
5297500	5907500	-62.2735865895859	-36.9621009368843
5302500	5907500	-62.2174873733443	-36.9631623882198
5307500	5907500	-62.1613852551691	-36.9641973590612
5312500	5907500	-62.1052803082255	-36.9652058451762
5317500	5907500	-62.0491726057017	-36.9661878424401
5322500	5907500	-61.9930622208084	-36.9671433468366
5327500	5907500	-61.9369492267784	-36.9680723544571
5332500	5907500	-61.8808336968659	-36.9689748615012
5337500	5907500	-61.8247157043457	-36.9698508642764
5342500	5907500	-61.7685953225129	-36.9707003591986
5347500	5907500	-61.7124726246822	-36.9715233427917
5352500	5907500	-61.656347684187	-36.9723198116878
5357500	5907500	-61.6002205743795	-36.9730897626274
5362500	5907500	-61.5440913686294	-36.9738331924593
5367500	5907500	-61.4879601403236	-36.9745500981403
5372500	5907500	-61.4318269628656	-36.9752404767361
5377500	5907500	-61.375691909675	-36.9759043254203
5382500	5907500	-61.3195550541867	-36.9765416414752
5387500	5907500	-61.2634164698502	-36.9771524222916
5392500	5907500	-61.2072762301295	-36.9777366653686
5397500	5907500	-61.1511344085019	-36.9782943683139
5402500	5907500	-61.0949910784579	-36.9788255288439
5407500	5907500	-61.0388463135002	-36.9793301447834
5412500	5907500	-60.9827001871434	-36.9798082140658
5417500	5907500	-60.9265527729132	-36.9802597347333
5422500	5907500	-60.8704041443458	-36.9806847049365
5427500	5907500	-60.8142543749875	-36.9810831229349
5432500	5907500	-60.7581035383939	-36.9814549870965
5437500	5907500	-60.7019517081294	-36.9818002958981
5442500	5907500	-60.6457989577665	-36.9821190479253
5447500	5907500	-60.5896453608852	-36.9824112418724
5452500	5907500	-60.5334909910726	-36.9826768765423
5457500	5907500	-60.4773359219221	-36.9829159508469
5462500	5907500	-60.4211802270327	-36.9831284638067
5467500	5907500	-60.3650239800088	-36.9833144145512
5472500	5907500	-60.308867254459	-36.9834738023184
5127500	5912500	-64.176260211656	-36.8653592544322
5132500	5912500	-64.120335603227	-36.8673145806535
5137500	5912500	-64.0644056355953	-36.8692436765284
5142500	5912500	-64.008470380625	-36.8711465342118
5147500	5912500	-63.9525299102234	-36.8730231459638
5152500	5912500	-63.8965842963397	-36.8748735041499
5157500	5912500	-63.840633610965	-36.876697601241
5162500	5912500	-63.7846779261315	-36.8784954298138
5167500	5912500	-63.728717313912	-36.8802669825505
5172500	5912500	-63.6727518464192	-36.8820122522391
5177500	5912500	-63.6167815958052	-36.8837312317733
