"date"	"pr.87544"	"pr.87448"	"pr.87453"	"pr.87534"	"pr.87468"	"pr.87484"	"pr.87537"	"pr.87548"	"pr.87532"	"pr.87540"	"pr.87550"	"pr.87616"	"pr.87623"	"pr.87624"	"pr.87637"	"pr.87640"	"pr.87679"
1961-03-02	0	0	0	16.3	NA	0	NA	0	0	0	0.4	0	0	0	8.7	0	0
1961-03-03	0	0	12.1	0	NA	0	NA	0.4	0	0	0.2	0	0	0	0	0	0
1961-03-04	0	8.9	39	3.2	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-05	0	2.9	13.4	0	NA	0	NA	0	0	0	0	0.4	0	0	0	0	0
1961-03-06	0	0.1	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-07	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-08	0	0	0	0	NA	0	NA	0	0	0	0	5	3.3	7.8	4.9	0	0.6
1961-03-09	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	18.4	0	4.5
1961-03-10	0	22.5	7	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-11	15.1	54.8	24	15.3	NA	26.8	NA	22.5	13.2	43.5	12.9	14.3	19	27.5	18.2	23.5	21.7
1961-03-12	6.6	0	0	0	NA	0	NA	0	0	1	2	0	0	0	7.6	2.5	0.2
1961-03-13	0	0	0	0	NA	0	NA	0	0	1.3	0.2	1.1	2.6	2.5	0.6	0	0.6
1961-03-14	0	0	0	42.2	NA	0.5	NA	0.1	3.2	0	0	1.3	6.8	4	2.4	2	8.8
1961-03-15	1	22.5	19.3	43.7	NA	8.1	NA	5.4	4	1.2	0	8.2	0	0	0	0	0
1961-03-16	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-17	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-18	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-19	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-20	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-21	0	0	0	0	NA	0	NA	0	0	0	0	3.2	1	0	0	0	1.8
1961-03-22	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-23	0	0	0	2.3	NA	4.8	NA	7.4	0	0	0.8	0	0	0	0	0	0
1961-03-24	0	0.1	0	0.9	NA	0	NA	0	0	0	0	0	0	0	0	10	0
1961-03-25	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-26	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-27	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-28	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-29	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	3.9	0	0
1961-03-30	0	0	0	22.5	NA	35.7	NA	17.9	5	0	0.8	0	0.3	4.5	13.6	13.8	10.3
1961-03-31	0	0	8.5	0.5	NA	0	NA	0	0	0	3	0	0	0	0	0	0
1961-04-01	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-02	1	0.7	0	21.8	NA	22.4	NA	11.1	0.4	0.3	5.3	0	0	0	0	0	0
1961-04-03	6.4	0	1.8	1.6	NA	1.7	NA	5.9	1.4	3.5	6.3	7.8	4.6	5.6	0	6.7	0
1961-04-04	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	4.9	0	5.1
1961-04-05	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-06	0	0	0	0	NA	0	NA	1.1	0	0	2.2	0	0	0	2.2	0	0
1961-04-07	0	0	0	0	NA	3.4	NA	17.2	0	0	2.5	0	0	0	0	0	0
1961-04-08	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-09	0	2.6	0.6	12	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-10	0	6.7	16.3	48.5	NA	57.3	NA	8.4	0	0	0.9	0	0	0	0.2	0	2
1961-04-11	0	36.6	0	0	NA	0	NA	0	1.8	0	0	0	0	0	0	0	0
1961-04-12	0	6.4	0	2	NA	0	NA	0	0	1	0.2	0	0	0	0	0	0
1961-04-13	0	0	0.9	0	NA	0	NA	0	0	0	0	0	2.9	0	3	0	2
1961-04-14	0	0	0.7	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-15	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-16	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-17	0	0	0	0	NA	0	NA	0	4.2	0	0	0	0	0	0	0	0
1961-04-18	0	0.8	3.7	0.5	NA	0	NA	0	0	0	0	0.8	0	0	0	0	0
1961-04-19	0	10	0	6.4	NA	0	NA	0.2	0.3	0	0	3.8	0	0	0	0	0
1961-04-20	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-21	14.6	9	8.3	12	NA	0.2	NA	0	30.8	16.7	1.5	33.5	41.7	33	5.1	2.5	9.6
1961-04-22	0.4	0	0	0	NA	0	NA	0	0.7	2.5	0.3	0	0	0	0.4	3.5	0
1961-04-23	1.9	0	0	0	NA	2.6	NA	1.4	0	1.3	1	0	0	0	0	3.5	0
1961-04-24	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-25	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-26	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-27	0	0	0	0	NA	0	NA	0	0	0	0	0	0.8	0	0	0	0
1961-04-28	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-29	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-04-30	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-01	5.5	43.2	8.7	0	NA	0	NA	0	0	0	0	0	2.9	0	3.1	0	1.7
1961-05-02	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-03	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-04	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-05	4.6	3	2.1	0	NA	0	NA	0.1	1.2	11.3	0.6	9.5	4.1	1.5	0.4	0	3.2
1961-05-06	1.3	0	0	0	NA	0	NA	0	0	1.3	0	0	0	0	0	0	0
1961-05-07	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-08	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-09	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-10	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-05-11	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-12	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-13	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-14	1.8	0	0	0	NA	0	NA	0	0	3.7	1.8	12.5	0	1.4	31.3	1.5	3.7
1961-05-15	5.1	0.5	16.8	2.2	NA	0	NA	0	2	13	0	5.7	5	6.5	13	4	0.8
1961-05-16	0.2	3	16	0	NA	0	NA	0	0.7	1.2	0	0.3	1	0	0	0	0
1961-05-17	0	0	0.3	0	NA	0	NA	0	0.3	1	0	0	0	0	0	0	0
1961-05-18	0	0.4	0	0	NA	0	NA	0	0	0.1	0	0	0	0	1.4	1	0
1961-05-19	NA	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-20	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-21	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-22	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-23	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-24	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-05-25	16.5	0	0	0	NA	0	NA	0	1.2	8	4.6	0	0	0	0	NA	0
1961-05-26	0.6	0	0	0	NA	36.7	NA	13.6	1.7	7	0.4	0.2	3.6	2	0.7	5.5	0.2
1961-05-27	0.6	1.3	3.1	0.4	NA	8.2	NA	3.8	0.5	1	1.5	0	0	0	0	2	0
